"Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","PScore","CScore"
"White - Sparkling","White","Sparkling","750ml","SEK","749","749","1","1","0","2018","Juillet-Lallement Champagne Grand Cru Special Club","France, Champagne, Champagne Grand Cru","Juillet-Lallement","Champagne Blend","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"Red","Red","Dry","750ml","SEK","210","210","1","1","0","2016","Kechris Xinomavro","Greece, Macedonia, Slopes of Paiko","Kechris","Xinomavro","Greece","Macedonia","Unknown","Slopes of Paiko","9999","9999","",""
"Red","Red","Dry","750ml","SEK","178,3984","178,3984","4","4","0","2021","Weingut Bernhard Koch Flemingen Herrenbuckel Pinot Noir","Germany, Pfalz","Weingut Bernhard Koch","Pinot Noir","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","222,998","222,998","2","2","0","2022","Weingut Bernhard Koch Kirchenst�ck Pinot Noir","Germany, Pfalz","Weingut Bernhard Koch","Pinot Noir","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"Ros� - Sweet/Dessert","Ros�","Sweet/Dessert","750ml","SEK","229","229","1","1","0","2019","Alois Kracher Red Roses Rosenmuskateller Beerenauslese","Austria, Burgenland, Neusiedlersee","Alois Kracher","Rosenmuskateller","Austria","Burgenland","Neusiedlersee","Unknown","9999","9999","",""
"Ros� - Sweet/Dessert","Ros�","Sweet/Dessert","750ml","SEK","229","229","1","1","0","2018","Alois Kracher Red Roses Rosenmuskateller Beerenauslese","Austria, Burgenland, Neusiedlersee","Alois Kracher","Rosenmuskateller","Austria","Burgenland","Neusiedlersee","Unknown","9999","9999","",""
"White - Sweet/Dessert","White","Sweet/Dessert","187ml","SEK","149,5","149,5","1","1","0","1001","Alois Kracher Trockenbeerenauslese Noble Reserve","Austria, Burgenland, Neusiedlersee","Alois Kracher","White Blend","Austria","Burgenland","Neusiedlersee","Unknown","9999","9999","",""
"Orange","Orange","Dry","750ml","SEK","289","289","2","2","0","2021","Sybille Kuntz Riesling Organic","Germany, Mosel Saar Ruwer","Sybille Kuntz","Riesling","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","346","346","1","1","0","2020","Sybille Kuntz Riesling Sp�tlese trocken","Germany, Mosel Saar Ruwer","Sybille Kuntz","Riesling","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","259","259","1","1","0","2006","Ch�teau La Louvi�re Blanc","France, Bordeaux, Graves, Pessac-L�ognan","Ch�teau La Louvi�re","S�millon-Sauvignon Blanc Blend","France","Bordeaux","Graves","Pessac-L�ognan","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","533","533","2","2","0","1001","Laherte Fr�res Champagne Blanc de Noirs Brut Nature","France, Champagne","Laherte Fr�res","Pinot Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","487","487","1","1","0","1001","Laherte Fr�res Champagne Extra Brut Ultradition","France, Champagne","Laherte Fr�res","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","649","649","1","1","0","2024","Laherte Fr�res Champagne Nature De Craie Premier Cru Brut Nature","France, Champagne","Laherte Fr�res","Chardonnay","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","570","570","1","1","0","1001","Lanson Champagne Le Black R�serve Brut","France, Champagne","Lanson","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","499","499","2","2","0","2018","L�guillette Romelot Champagne C�pages d'Autrefois","France, Champagne","L�guillette Romelot","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","449","449","2","2","0","2015","L�guillette Romelot Champagne Symphonie Mill�sime","France, Champagne","L�guillette Romelot","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","419","419","2","2","0","1001","L�guillette Romelot Festival","France","L�guillette Romelot","Champagne Blend","France","France","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","334,4969","334,4969","2","2","0","2023","Dr. Loosen Erdener Treppchen Riesling Gro�es Gew�chs Alte Reben","Germany, Mosel Saar Ruwer","Dr. Loosen","Riesling","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","334,4969","334,4969","2","2","0","2023","Dr. Loosen Graacher Himmelreich Riesling Gro�es Gew�chs Alte Reben","Germany, Mosel Saar Ruwer","Dr. Loosen","Riesling","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","334,4969","334,4969","2","2","0","2023","Dr. Loosen �rziger W�rzgarten Riesling Gro�es Gew�chs Alte Reben","Germany, Mosel Saar Ruwer","Dr. Loosen","Riesling","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","399","399","1","1","0","2023","Dr. Loosen Wehlener Sonnenuhr Riesling Alte Reben","Germany, Mosel Saar Ruwer","Dr. Loosen","Riesling","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","349","349","1","1","0","2021","Dr. Loosen Wehlener Sonnenuhr Riesling Alte Reben","Germany, Mosel Saar Ruwer","Dr. Loosen","Riesling","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","349","349","1","1","0","2017","Masi Amarone della Valpolicella Classico Costasera","Italy, Veneto, Valpolicella, Amarone della Valpolicella Classico","Masi","Corvina Blend","Italy","Veneto","Valpolicella","Amarone della Valpolicella Classico","9999","9999","",""
"Red","Red","Dry","750ml","SEK","299","299","1","1","0","2018","Marchesi Mazzei Maremma Toscana Tenuta Belguardo","Italy, Tuscany, Maremma, Maremma Toscana","Marchesi Mazzei","Red Bordeaux Blend","Italy","Tuscany","Maremma","Maremma Toscana","9999","9999","",""
"Red","Red","Dry","750ml","SEK","250","250","1","1","0","2020","Bodegas y Vi�edos Mengoba Menc�a Bierzo Brezo","Spain, Castilla y Le�n, Bierzo","Bodegas y Vi�edos Mengoba","Menc�a","Spain","Castilla y Le�n","Unknown","Bierzo","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","699","699","3","3","0","2015","Jos� Michel & Fils Champagne Special Club","France, Champagne","Jos� Michel & Fils","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","323,347","323,347","1","1","0","2018","mkquadrat Chardonnay Brut Nature","Germany, Pfalz","mkquadrat","Chardonnay","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","167,2485","167,2485","2","2","0","2023","mkquadrat Kallstadter Kreidkeller Riesling","Germany, Pfalz","mkquadrat","Riesling","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","222,998","222,998","1","1","0","2019","mkquadrat Merlot Edition Horcher","Germany, Pfalz","mkquadrat","Merlot","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","156,0986","156,0986","3","3","0","2018","mkquadrat Sp�tburgunder Edition Horcher","Germany, Pfalz","mkquadrat","Sp�tburgunder","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"Ros� - Sparkling","Ros�","Sparkling","750ml","SEK","699","699","1","1","0","2015","Mo�t & Chandon Champagne Grand Vintage Ros�","France, Champagne","Mo�t & Chandon","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White","White","Dry","750ml","SEK","267,5975","267,5975","2","2","0","2017","Markus Molitor Erdener Treppchen Riesling Sp�tlese (White Capsule)","Germany, Mosel Saar Ruwer","Markus Molitor","Riesling","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","178,3984","178,3984","6","6","0","2022","Markus Molitor Haus Klosterberg Pinot Noir","Germany, Mosel Saar Ruwer","Markus Molitor","Pinot Noir","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"White - Off-dry","White","Dry","750ml","SEK","178,3984","178,3984","2","2","0","2020","Markus Molitor Ockfener Bockstein Riesling Kabinett (Green Capsule)","Germany, Mosel Saar Ruwer","Markus Molitor","Riesling","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","245,2977","245,2977","6","6","0","2020","Markus Molitor Pinot Noir Einstern*","Germany, Mosel Saar Ruwer","Markus Molitor","Pinot Noir","Germany","Mosel Saar Ruwer","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","250","250","1","1","0","2020","Domaine de Montille Bourgogne","France, Burgundy, Bourgogne","Domaine de Montille","Pinot Noir","France","Burgundy","Unknown","Bourgogne","9999","9999","",""
"Red","Red","Dry","750ml","SEK","159","159","1","1","0","2018","Ch�teau de Nages Costi�res-de-N�mes Vieilles Vignes","France, Rh�ne, Southern Rh�ne, Costi�res-de-N�mes","Ch�teau de Nages","Red Rhone Blend","France","Rh�ne","Southern Rh�ne","Costi�res-de-N�mes","9999","9999","",""
"Red","Red","Dry","750ml","SEK","95","95","2","2","0","2016","Bodegas Navajas Rioja Crianza","Spain, La Rioja, Rioja","Bodegas Navajas","Tempranillo","Spain","La Rioja","Unknown","Rioja","9999","9999","",""
"Red","Red","Dry","750ml","SEK","199","199","2","2","0","2019","Fattoria Nittardi Chianti Classico Casanuova di Nittardi Vigna Doghessa","Italy, Tuscany, Chianti, Chianti Classico DOCG","Fattoria Nittardi","Sangiovese","Italy","Tuscany","Chianti","Chianti Classico DOCG","9999","9999","",""
"White - Sweet/Dessert","White","Sweet/Dessert","375ml","SEK","149","149","6","6","0","2021","Nittnaus Beerenauslese Exquisit","Austria, Burgenland, Neusiedlersee","Nittnaus","White Blend","Austria","Burgenland","Neusiedlersee","Unknown","9999","9999","",""
"White - Sweet/Dessert","White","Sweet/Dessert","750ml","SEK","124","124","1","1","0","2018","Nittnaus Beerenauslese Exquisit","Austria, Burgenland, Neusiedlersee","Nittnaus","White Blend","Austria","Burgenland","Neusiedlersee","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","265","265","1","1","0","2019","Oliver Zeter Riesling","Germany, Pfalz","Oliver Zeter","Riesling","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"Ros� - Sparkling","Ros�","Sparkling","750ml","SEK","399","399","2","2","0","2016","Olivier et La�titia Marteaux Champagne Ros� de Saign�e - Brut","France, Champagne","Olivier et La�titia Marteaux","Pinot Meunier","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","499","499","2","2","0","2020","Pertois-Lebrun Champagne Grand Cru L'extravertie","France, Champagne, Champagne Grand Cru","Pertois-Lebrun","Chardonnay","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"Red","Red","Dry","750ml","SEK","219","219","1","1","0","2020","Ch�teau Peyrabon","France, Bordeaux, M�doc, Haut-M�doc","Ch�teau Peyrabon","Red Bordeaux Blend","France","Bordeaux","M�doc","Haut-M�doc","9999","9999","",""
"White","White","Dry","750ml","SEK","364","364","1","1","0","2020","Philipp Kuhn Laumersheimer Kirschgarten Riesling Gro�es Gew�chs","Germany, Pfalz","Philipp Kuhn","Riesling","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","375","375","1","1","0","2021","Philipp Kuhn Saumagen Riesling Gro�es Gew�chs","Germany, Pfalz","Philipp Kuhn","Riesling","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","489","489","1","1","0","2017","Pian Delle Vigne (Antinori) Brunello di Montalcino","Italy, Tuscany, Montalcino, Brunello di Montalcino","Pian Delle Vigne (Antinori)","Sangiovese","Italy","Tuscany","Montalcino","Brunello di Montalcino","9999","9999","",""
"Red","Red","Dry","750ml","SEK","189","189","2","2","0","2019","Piero Benevelli Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","Piero Benevelli","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"White - Sparkling","White","Sparkling","375ml","SEK","187","187","1","1","0","1001","Pierre Callot Champagne Grand Cru Blanc de Blancs Brut","France, Champagne, Champagne Grand Cru","Pierre Callot","Chardonnay","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"Red","Red","Dry","750ml","SEK","329","329","1","1","0","2016","Luigi Pira Barolo Serralunga","Italy, Piedmont, Langhe, Barolo","Luigi Pira","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"Red","Red","Dry","750ml","SEK","195","195","1","1","0","2017","Luigi Pira Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","Luigi Pira","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","319","319","1","1","0","2018","Fattoria Poggerino Chianti Classico Riserva Bugialla","Italy, Tuscany, Chianti, Chianti Classico DOCG","Fattoria Poggerino","Sangiovese","Italy","Tuscany","Chianti","Chianti Classico DOCG","9999","9999","",""
"Red","Red","Dry","750ml","SEK","250","250","1","1","0","2016","Bodegas Ponce Manchuela Pino","Spain, Castilla-La Mancha, Manchuela","Bodegas Ponce","Bobal","Spain","Castilla-La Mancha","Unknown","Manchuela","9999","9999","",""
"Red","Red","Dry","1.5L","SEK","489","489","1","1","0","2018","Bodegas Protos Ribera del Duero Protos 27","Spain, Castilla y Le�n, Ribera del Duero","Bodegas Protos","Tempranillo","Spain","Castilla y Le�n","Unknown","Ribera del Duero","9999","9999","",""
"Red","Red","Dry","750ml","SEK","319","319","2","2","0","2021","Psi Ribera del Duero","Spain, Castilla y Le�n, Ribera del Duero","Psi","Tempranillo Blend","Spain","Castilla y Le�n","Unknown","Ribera del Duero","9999","9999","",""
"Red","Red","Dry","750ml","SEK","299","299","2","2","0","2019","Psi Ribera del Duero","Spain, Castilla y Le�n, Ribera del Duero","Psi","Tempranillo Blend","Spain","Castilla y Le�n","Unknown","Ribera del Duero","9999","9999","",""
"Red","Red","Dry","750ml","SEK","269","269","1","1","0","2017","Psi Ribera del Duero","Spain, Castilla y Le�n, Ribera del Duero","Psi","Tempranillo Blend","Spain","Castilla y Le�n","Unknown","Ribera del Duero","9999","9999","",""
"Red","Red","Dry","750ml","SEK","149","149","2","2","0","2018","Quinta de Chocapalha Cabernet Sauvignon Vinho Regional Lisboa","Portugal, Lisboa, Vinho Regional Lisboa","Quinta de Chocapalha","Cabernet Sauvignon","Portugal","Lisboa","Unknown","Vinho Regional Lisboa","9999","9999","",""
"Red","Red","Dry","750ml","SEK","149","149","2","2","0","2017","Quinta de Chocapalha Cabernet Sauvignon Vinho Regional Lisboa","Portugal, Lisboa, Vinho Regional Lisboa","Quinta de Chocapalha","Cabernet Sauvignon","Portugal","Lisboa","Unknown","Vinho Regional Lisboa","9999","9999","",""
"Red","Red","Dry","750ml","SEK","339","339","2","2","0","2018","Reignac","France, Bordeaux, Bordeaux Sup�rieur","Reignac","Red Bordeaux Blend","France","Bordeaux","Unknown","Bordeaux Sup�rieur","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","796","796","1","1","0","2017","Remy Massin & Fils Pinot Blanc Champagne ""Special Club"" Brut Mill�sime","France, Champagne","Remy Massin & Fils","Pinot Blanc","France","Champagne","Unknown","Champagne","9999","9999","",""
"Ros� - Sparkling","Ros�","Sparkling","750ml","SEK","409","409","1","1","0","1001","Ridgeview Fitzrovia Ros�","United Kingdom, England, Sussex, West Sussex","Ridgeview","Champagne Blend","United Kingdom","England","Sussex","West Sussex","9999","9999","",""
"Red","Red","Dry","750ml","SEK","127,7778","127,7778","1","1","0","2018","La Rioja Alta Rioja Vi�a Alberdi Crianza","Spain, La Rioja, La Rioja Alta, Rioja","La Rioja Alta","Tempranillo Blend","Spain","La Rioja","La Rioja Alta","Rioja","9999","9999","",""
"Red","Red","Dry","750ml","SEK","280","280","1","1","0","2016","Rocca di Castagnoli Chianti Classico Stielle Gran Selezione","Italy, Tuscany, Chianti, Chianti Classico DOCG","Rocca di Castagnoli","Sangiovese","Italy","Tuscany","Chianti","Chianti Classico DOCG","9999","9999","",""
"Red","Red","Dry","750ml","SEK","299","299","1","1","0","2017","Albino Rocca Barbaresco","Italy, Piedmont, Langhe, Barbaresco","Albino Rocca","Nebbiolo","Italy","Piedmont","Langhe","Barbaresco","9999","9999","",""
"Red","Red","Dry","750ml","SEK","250,8727","250,8727","1","1","0","2017","Bodegas Roda Rioja Roda Reserva","Spain, La Rioja, La Rioja Alta, Rioja","Bodegas Roda","Tempranillo Blend","Spain","La Rioja","La Rioja Alta","Rioja","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","569","569","2","2","0","2020","Roland Champion Champagne Grand Cru Special Club","France, Champagne, Champagne Grand Cru","Roland Champion","Chardonnay","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","549","549","2","2","0","2019","Roland Champion Champagne Grand Cru Special Club","France, Champagne, Champagne Grand Cru","Roland Champion","Chardonnay","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"Red","Red","Dry","750ml","SEK","199","199","2","2","0","2018","Rovero Barbera d'Asti Superiore Gustin","Italy, Piedmont, Asti, Barbera d'Asti Superiore","Rovero","Barbera","Italy","Piedmont","Asti","Barbera d'Asti Superiore","9999","9999","",""
"Red","Red","Dry","750ml","SEK","229","229","4","4","0","2018","Weingut Salwey Sp�tburgunder RS","Germany, Baden","Weingut Salwey","Sp�tburgunder","Germany","Baden","Unknown","Unknown","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","598","598","1","1","0","2014","Sanchez-Le Gu�dard Pinot Noir Champagne Premier Cru Special Club Clos Saint H�l�ne","France, Champagne, Champagne Premier Cru","Sanchez-Le Gu�dard","Pinot Noir","France","Champagne","Unknown","Champagne Premier Cru","9999","9999","",""
"Ros� - Sparkling","Ros�","Sparkling","750ml","SEK","279","279","4","4","0","2019","Sara Vezza Nebbiolo d'Alba Spumante Brut Ros�","Italy, Piedmont, Alba, Nebbiolo d'Alba","Sara Vezza","Nebbiolo","Italy","Piedmont","Alba","Nebbiolo d'Alba","9999","9999","",""
"Red","Red","Dry","750ml","SEK","423,6961","423,6961","1","1","0","2020","Cellers de Scala Dei Priorat Cartoixa","Spain, Catalunya, Priorat","Cellers de Scala Dei","Grenache Blend","Spain","Catalunya","Unknown","Priorat","9999","9999","",""
"Red","Red","Dry","750ml","SEK","250","250","1","1","0","2019","Tenuta Scersc� Rosso di Valtellina Nettare","Italy, Lombardia, Valtellina, Rosso di Valtellina","Tenuta Scersc�","Nebbiolo","Italy","Lombardia","Valtellina","Rosso di Valtellina","9999","9999","",""
"Red","Red","Dry","750ml","SEK","169","169","2","2","0","2018","Fattoria Selvapiana Chianti R�fina","Italy, Tuscany, Chianti, Chianti R�fina","Fattoria Selvapiana","Sangiovese","Italy","Tuscany","Chianti","Chianti R�fina","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","415","415","1","1","0","2018","Serge Pierlot Champagne Grand Cru Sec Tradition","France, Champagne, Champagne Grand Cru","Serge Pierlot","Champagne Blend","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"Ros� - Sparkling","Ros�","Sparkling","750ml","SEK","298","298","1","1","0","2020","Skepparps Ving�rd Grand Prix Mousserande Ros� Brut","Sweden, Sk�ne","Skepparps Ving�rd","Ros� Blend","Sweden","Sk�ne","Unknown","Unknown","9999","9999","",""
"Ros�","Ros�","Dry","750ml","SEK","298","298","1","1","0","2018","Skepparps Ving�rd Grand Prix Ros�","Sweden, Sk�ne","Skepparps Ving�rd","Ros� Blend","Sweden","Sk�ne","Unknown","Unknown","9999","9999","",""
"Red","Red","Dry","750ml","SEK","239","239","1","1","0","2016","La Spinetta (Rivetti) Barbera d'Asti C� di Pian","Italy, Piedmont, Asti, Barbera d'Asti","La Spinetta (Rivetti)","Barbera","Italy","Piedmont","Asti","Barbera d'Asti","9999","9999","",""
"Red","Red","Dry","750ml","SEK","239","239","4","4","0","2022","La Spinetta (Rivetti) Barbera d'Asti Superiore C� di Pian","Italy, Piedmont, Asti, Barbera d'Asti Superiore","La Spinetta (Rivetti)","Barbera","Italy","Piedmont","Asti","Barbera d'Asti Superiore","9999","9999","",""
"Red","Red","Dry","750ml","SEK","229","229","3","3","0","2020","La Spinetta (Rivetti) Barbera d'Asti Superiore C� di Pian","Italy, Piedmont, Asti, Barbera d'Asti Superiore","La Spinetta (Rivetti)","Barbera","Italy","Piedmont","Asti","Barbera d'Asti Superiore","9999","9999","",""
"Red","Red","Dry","750ml","SEK","219","219","2","2","0","2019","La Spinetta (Rivetti) Barbera d'Asti Superiore C� di Pian","Italy, Piedmont, Asti, Barbera d'Asti Superiore","La Spinetta (Rivetti)","Barbera","Italy","Piedmont","Asti","Barbera d'Asti Superiore","9999","9999","",""
"Red","Red","Dry","750ml","SEK","229","229","2","2","0","2017","La Spinetta (Rivetti) Barbera d'Asti Superiore C� di Pian","Italy, Piedmont, Asti, Barbera d'Asti Superiore","La Spinetta (Rivetti)","Barbera","Italy","Piedmont","Asti","Barbera d'Asti Superiore","9999","9999","",""
"Red","Red","Dry","750ml","SEK","249","249","3","3","0","2022","La Spinetta (Rivetti) Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","La Spinetta (Rivetti)","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","239","239","2","2","0","2021","La Spinetta (Rivetti) Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","La Spinetta (Rivetti)","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","199","199","2","2","0","2020","La Spinetta (Rivetti) Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","La Spinetta (Rivetti)","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","229","229","1","1","0","2019","La Spinetta (Rivetti) Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","La Spinetta (Rivetti)","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","229","229","1","1","0","2018","La Spinetta (Rivetti) Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","La Spinetta (Rivetti)","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","229","229","2","2","0","2016","La Spinetta (Rivetti) Langhe Nebbiolo","Italy, Piedmont, Langhe, Langhe DOC","La Spinetta (Rivetti)","Nebbiolo","Italy","Piedmont","Langhe","Langhe DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","179","179","1","1","0","2018","Substance Cabernet Sauvignon","USA, Washington","Substance","Cabernet Sauvignon","USA","Washington","Unknown","Washington","9999","9999","",""
"Red","Red","Dry","750ml","SEK","159","159","1","1","0","2018","Terrazze dell'Etna Etna Carusu","Italy, Sicily, Etna DOC","Terrazze dell'Etna","Nerello Mascalese","Italy","Sicily","Unknown","Etna DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","159","159","1","1","0","2017","Terrazze dell'Etna Etna Carusu","Italy, Sicily, Etna DOC","Terrazze dell'Etna","Nerello Mascalese","Italy","Sicily","Unknown","Etna DOC","9999","9999","",""
"Red","Red","Dry","750ml","SEK","217,423","217,423","2","2","0","2020","Thymiopoulos Xinomavro Gi kai Ouranos","Greece, Macedonia, Naoussa","Thymiopoulos","Xinomavro","Greece","Macedonia","Unknown","Naoussa","9999","9999","",""
"Red","Red","Dry","750ml","SEK","206,2731","206,2731","1","1","0","2015","Torre de O�a Rioja Reserva Finca Martelo","Spain, La Rioja, La Rioja Alavesa, Rioja","Torre de O�a","Tempranillo Blend","Spain","La Rioja","La Rioja Alavesa","Rioja","9999","9999","",""
"Red","Red","Dry","750ml","SEK","298","298","2","2","0","2016","Ch�teau Tour Sieujean","France, Bordeaux, M�doc, Pauillac","Ch�teau Tour Sieujean","Red Bordeaux Blend","France","Bordeaux","M�doc","Pauillac","9999","9999","",""
"White","White","Dry","750ml","SEK","423,6961","423,6961","1","1","0","2022","Trossos del Priorat Priorat Abracadabra","Spain, Catalunya, Priorat","Trossos del Priorat","Grenache Blanc","Spain","Catalunya","Unknown","Priorat","9999","9999","",""
"Red","Red","Dry","750ml","SEK","234,1478","234,1478","1","1","0","2018","Trossos del Priorat Priorat l'estaca","Spain, Catalunya, Priorat","Trossos del Priorat","Garnacha","Spain","Catalunya","Unknown","Priorat","9999","9999","",""
"Red","Red","Dry","750ml","SEK","301,0472","301,0472","1","1","0","2019","Trossos del Priorat Priorat Lo Mon","Spain, Catalunya, Priorat","Trossos del Priorat","Grenache Blend","Spain","Catalunya","Unknown","Priorat","9999","9999","",""
"Red","Red","Dry","750ml","SEK","301,0472","301,0472","1","1","0","2018","Trossos del Priorat Priorat Lo Mon","Spain, Catalunya, Priorat","Trossos del Priorat","Grenache Blend","Spain","Catalunya","Unknown","Priorat","9999","9999","",""
"Red","Red","Dry","750ml","SEK","269","269","1","1","0","2016","G.D. Vajra Barolo Albe","Italy, Piedmont, Langhe, Barolo","G.D. Vajra","Nebbiolo","Italy","Piedmont","Langhe","Barolo","9999","9999","",""
"White","White","Dry","750ml","SEK","144,9487","144,9487","1","1","0","2019","Bodegas Valdemar Rioja Conde de Valdemar Alto Cantabria","Spain, La Rioja, La Rioja Alta, Rioja","Bodegas Valdemar","Viura","Spain","La Rioja","La Rioja Alta","Rioja","9999","9999","",""
"Red","Red","Dry","750ml","SEK","334,4969","334,4969","2","2","0","2017","Bodegas Valdemar Rioja Inspiraci�n Edici�n Limitada","Spain, La Rioja, La Rioja Alta, Rioja","Bodegas Valdemar","Tempranillo Blend","Spain","La Rioja","La Rioja Alta","Rioja","9999","9999","",""
"Red","Red","Dry","750ml","SEK","139","139","1","1","0","2019","Vi�a Chocal�n Cabernet Franc Gran Reserva Origen","Chile, Maipo Valley","Vi�a Chocal�n","Cabernet Franc","Chile","Maipo Valley","Unknown","Unknown","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","549","549","1","1","0","2019","Vincent Joudart Champagne Special Club","France, Champagne","Vincent Joudart","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","300","300","1","1","0","1001","Virginie Bergeronneau Champagne Cuv�e Ernestine Brut Nature","France, Champagne","Virginie Bergeronneau","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White","White","Dry","750ml","SEK","229","229","2","2","0","2021","von Winning Deidesheimer Herrgottsacker Riesling","Germany, Pfalz","von Winning","Riesling","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","199","199","2","2","0","2022","Wagner-Stempel Siefersheimer Riesling Vom Porphyr Trocken","Germany, Rheinhessen","Wagner-Stempel","Riesling","Germany","Rheinhessen","Unknown","Unknown","9999","9999","",""
