"Type","Color","Category","Size","Currency","Value","Price","TotalQuantity","Quantity","Pending","Vintage","Wine","Locale","Producer","Varietal","Country","Region","SubRegion","Appellation","BeginConsume","EndConsume","PScore","CScore"
"White","White","Dry","750ml","SEK","211,8481","211,8481","1","1","0","2023","Reichsrat Von Buhl Deidesheimer Herrgottsacker Riesling","Germany, Pfalz","Reichsrat Von Buhl","Riesling","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"White","White","Dry","750ml","SEK","234,1478","234,1478","1","1","0","2023","Reichsrat Von Buhl Deidesheimer Paradiesgarten Riesling Erste Lage","Germany, Pfalz","Reichsrat Von Buhl","Riesling","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","200,6982","200,6982","3","3","0","1001","Reichsrat Von Buhl Sekt Reserve brut","Germany, Pfalz","Reichsrat Von Buhl","Chardonnay Blend","Germany","Pfalz","Unknown","Unknown","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","329","329","1","1","0","1001","Ca' del Bosco Franciacorta Cuv�e Prestige Brut","Italy, Lombardia, Franciacorta DOCG","Ca' del Bosco","Chardonnay Blend","Italy","Lombardia","Unknown","Franciacorta DOCG","9999","9999","",""
"Red","Red","Dry","750ml","SEK","380","380","1","1","0","2016","Cantina del Glicine Barbaresco Marcorino","Italy, Piedmont, Langhe, Barbaresco","Cantina del Glicine","Nebbiolo","Italy","Piedmont","Langhe","Barbaresco","9999","9999","",""
"Red","Red","Dry","750ml","SEK","200","200","2","2","0","2017","Cantina del Glicine Barbera d'Alba La Dormiosa","Italy, Piedmont, Alba, Barbera d'Alba","Cantina del Glicine","Barbera","Italy","Piedmont","Alba","Barbera d'Alba","9999","9999","",""
"Red","Red","Dry","750ml","SEK","180","180","2","2","0","2019","Cantina del Glicine Dolcetto d'Alba Olmiolo","Italy, Piedmont, Alba, Dolcetto d'Alba","Cantina del Glicine","Dolcetto","Italy","Piedmont","Alba","Dolcetto d'Alba","9999","9999","",""
"Red","Red","Dry","750ml","SEK","200","200","1","1","0","2017","Cantina del Glicine Nebbiolo d'Alba Calcabrume","Italy, Piedmont, Alba, Nebbiolo d'Alba","Cantina del Glicine","Nebbiolo","Italy","Piedmont","Alba","Nebbiolo d'Alba","9999","9999","",""
"Red","Red","Dry","750ml","SEK","229","229","2","2","0","2016","Cantina Menegola Valtellina Superiore - Sassella Rupestre","Italy, Lombardia, Valtellina, Valtellina Superiore - Sassella","Cantina Menegola","Nebbiolo","Italy","Lombardia","Valtellina","Valtellina Superiore - Sassella","9999","9999","",""
"Red","Red","Dry","750ml","SEK","229","229","1","1","0","2015","Cantina Menegola Valtellina Superiore - Sassella Rupestre","Italy, Lombardia, Valtellina, Valtellina Superiore - Sassella","Cantina Menegola","Nebbiolo","Italy","Lombardia","Valtellina","Valtellina Superiore - Sassella","9999","9999","",""
"Red","Red","Dry","750ml","SEK","199","199","1","1","0","2018","Celliers d'Orf�e Corbi�res Cuv�e Sextant","France, Languedoc Roussillon, Languedoc, Corbi�res","Celliers d'Orf�e","Red Blend","France","Languedoc Roussillon","Languedoc","Corbi�res","9999","9999","",""
"Red","Red","Dry","750ml","SEK","250","250","1","1","0","2020","Maison Chanzy Givry 1er Cru Champs Lalot","France, Burgundy, C�te Chalonnaise, Givry 1er Cru","Maison Chanzy","Pinot Noir","France","Burgundy","C�te Chalonnaise","Givry 1er Cru","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","264","264","1","1","0","1001","Charlier & Fils Champagne Carte Noire Brut","France, Champagne","Charlier & Fils","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"Red","Red","Dry","750ml","SEK","279","279","1","1","0","2016","Clau De Nell Anjou Cuv�e Violette","France, Loire Valley, Anjou-Saumur, Anjou","Clau De Nell","Red Blend","France","Loire Valley","Anjou-Saumur","Anjou","9999","9999","",""
"Red","Red","Dry","750ml","SEK","362,3717","362,3717","2","2","0","2021","Clos Figueras Priorat Font de la Figuera","Spain, Catalunya, Priorat","Clos Figueras","Grenache Blend","Spain","Catalunya","Unknown","Priorat","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","499","499","1","1","0","2015","Andr� Clouet Champagne Brut Mill�sim�","France, Champagne","Andr� Clouet","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","649","649","1","1","0","1001","Collery Champagne Grand Cru Blanc de Noirs Brut","France, Champagne, Champagne Grand Cru","Collery","Pinot Noir","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","334,4969","334,4969","2","2","0","2016","Conti Ducco Franciacorta Blanc de Blancs","Italy, Lombardia, Franciacorta DOCG","Conti Ducco","Chardonnay Blend","Italy","Lombardia","Unknown","Franciacorta DOCG","9999","9999","",""
"White","White","Dry","750ml","SEK","199","199","1","1","0","2019","Christophe Cordier Saint V�ran Vieilles Vignes","France, Burgundy, M�connais, Saint V�ran","Christophe Cordier","Chardonnay","France","Burgundy","M�connais","Saint V�ran","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","349","349","1","1","0","2013","De Saint Gall Champagne Grand Cru Blanc de Blancs Mill�sim�","France, Champagne, Champagne Grand Cru","De Saint Gall","Chardonnay","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","999","999","1","1","0","2018","Deutz Champagne Blanc de Blancs","France, Champagne","Deutz","Chardonnay","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","578,5","578,5","2","2","0","2015","Deutz Champagne Brut Mill�sim�","France, Champagne","Deutz","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"Ros� - Sparkling","Ros�","Sparkling","750ml","SEK","799","799","1","1","0","2016","Deutz Champagne Brut Ros� Mill�sim�","France, Champagne","Deutz","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","688","688","1","1","0","1998","Devavry Champagne Brut Mill�sim�","France, Champagne","Devavry","Pinot Noir","France","Champagne","Unknown","Champagne","9999","9999","",""
"White","White","Dry","750ml","SEK","289","289","2","2","0","2022","Dog Point Vineyard Chardonnay","New Zealand, South Island, Marlborough","Dog Point Vineyard","Chardonnay","New Zealand","South Island","Marlborough","Marlborough","9999","9999","",""
"Red","Red","Dry","750ml","SEK","379","379","1","1","0","2022","Dog Point Vineyard Pinot Noir","New Zealand, South Island, Marlborough","Dog Point Vineyard","Pinot Noir","New Zealand","South Island","Marlborough","Marlborough","9999","9999","",""
"White","White","Dry","750ml","SEK","219","219","2","2","0","2024","Dog Point Vineyard Sauvignon Blanc","New Zealand, South Island, Marlborough","Dog Point Vineyard","Sauvignon Blanc","New Zealand","South Island","Marlborough","Marlborough","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","250","250","1","1","0","1001","Dom Caudron Champagne Cuv�e Epicurienne","France, Champagne","Dom Caudron","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","349","349","1","1","0","2016","Herve Dubois Champagne Grand Cru Blanc de Blancs Brut Mill�sim�","France, Champagne, Champagne Grand Cru","Herve Dubois","Chardonnay","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","681","681","2","2","0","2012","Dum�nil Champagne Premier Cru Special Club","France, Champagne","Dum�nil","Champagne Blend","France","Champagne","Unknown","Champagne","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","559","559","1","1","0","2007","Duval-Leroy Champagne Grand Cru Blanc de Blancs Brut","France, Champagne, Champagne Grand Cru","Duval-Leroy","Chardonnay","France","Champagne","Unknown","Champagne Grand Cru","9999","9999","",""
"White - Sweet/Dessert","White","Sweet/Dessert","500ml","SEK","200","200","1","1","0","2000","Eckehart gr�hl Riesling Eiswein","Germany, Rheinhessen","Eckehart gr�hl","Riesling","Germany","Rheinhessen","Unknown","Unknown","9999","9999","",""
"White - Sparkling","White","Sparkling","750ml","SEK","359","359","1","1","0","2020","�mile Lecl�re Champagne 100% Meunier","France, Champagne","�mile Lecl�re","Pinot Meunier","France","Champagne","Unknown","Champagne","9999","9999","",""
"Red","Red","Dry","750ml","SEK","525","525","2","2","0","2022","Evening Land Vineyards Pinot Noir Seven Springs Vineyard","USA, Oregon, Willamette Valley, Eola - Amity Hills","Evening Land Vineyards","Pinot Noir","USA","Oregon","Willamette Valley","Eola - Amity Hills","9999","9999","",""
